qSpecies_string,species_id,confidence
Betula papyrifera - paper birch,f9cbf460-3719-5e4a-a598-1849c2f282c1,1.00
Corylus colurna - Turkish hazelnut,1ac4d91a-0d17-5b7d-87f9-243c8ede71c7,1.00
Picea pungens - blue spruce,8c3b7e45-2314-592e-9605-23b43228b2b7,1.00
Gleditsia triacanthos var. inermis 'Streetkeeper' - 'Streetkeeper' Thornless honeylocust,579354bc-9c0f-594d-b73e-9b0bf6a3bf01,0.90
Carya glabra - pignut hickory,,1.00
Quercus x macdanielii 'Clemons' - Heritage Oak,,0.75
Styphnolobium japonicum 'Regent' - 'Regent' Japanese pagodatree,a274dcbb-80fb-5d23-8250-dc3650ae29af,0.90
Ulmus 'Homestead' - 'Homestead' Elm,a40af43e-f1a8-5b93-ae6f-77bf177ce510,0.60
Prunus 'Mt Fuji' - 'Mt Fuji' Cherry,a20a008e-c1fe-5078-aeaa-5a265579dec7,0.60
Cedrus atlantica - Atlas cedar,7aadb1f5-3422-5338-b99e-68ef3daa3ba8,1.00
Phellodendron amurense - Amur corktree,,1.00
Tilia x. euchlora - Caucasian linden,,0.75
Salix babylonica - Weeping willow,1fd5fc2f-f539-5c9a-a02c-19b6c0459199,1.00
Prunus 'Okame' - 'Okame' Cherry,a20a008e-c1fe-5078-aeaa-5a265579dec7,0.60
Fraxinus profunda - Pumpkin ash,,1.00
Ilex opaca - American holly,24d4d93b-351c-57df-9402-a0e3e3573685,1.00
Acer rubrum 'Frank Jr.' -  'Frank Jr.' red maple,aeddf3cd-6091-5b26-bf15-70dd35c56c54,0.90
Ulmus 'Triumph' - 'Triumph' Elm,a40af43e-f1a8-5b93-ae6f-77bf177ce510,0.60
Acer ginnala 'Flame' - 'Flame' Amur maple,2c4f47c0-1634-5531-99d0-5c3da1e8c8a3,0.90
Malus floribunda - Japanese flowering crabapple,acdd30d8-7680-5a54-a719-a414482d9392,1.00
Taxus baccata - English yew,33abfd07-4205-56c7-91d4-9f0686fb6703,1.00
Quercus lyrata - overcup oak,,1.00
Parrotia persica 'Ruby Vase' - 'Ruby Vase' Persian ironwood,7dc2fb47-49fc-54fe-9eff-76abe521e912,0.90
Cryptomeria japonica - Japanese cedar,6e2f27b0-c4d6-5471-a15d-a76a06905fbd,1.00
Prunus padus 'Merlot' - 'Merlot' European bird cherry,,0.90
Styrax japonicus 'Snowcone' - 'Snowcone' Japanese snowbell,b64d2848-20e9-57d6-b947-24d4dafb49b1,0.90
Crataegus viridis 'Winter King' - 'Winter King' Green hawthorn,,0.90
Ulmus propinqua 'Emerald Sunshine' - 'Emerald Sunshine' Elm,cb0dae10-c6d1-5dfc-982d-3ab87978d19c,0.90
Acer tataricum 'Hot Wings' - 'Hot Wings' Tatarian maple,,0.90
Carya cordiformis - bitternut hickory,,1.00
Aesculus x carnea - red horse-chestnut,af1edbf1-d5a9-5b2e-b265-689dcd00fdd4,0.75
