qSpecies_string,species_id,confidence
Chilopsis linearis,efbde0c6-ecb1-5c64-a8c6-5a0b29f50621,1.00
Fraxinus x Moraine,6697cc65-9d47-5b6f-aafa-9d1a58f04620,0.75
Magnolia,d5ebf801-2699-5398-90bb-d7be7e6c18cd,0.70
Platanus occidentalis,d9b77210-1b3f-5d0c-ac22-649f0360c6dc,1.00
Ulmus spp,4afac306-7ce6-5b33-afd3-48a9c5baf9e9,0.75
Alnus cordata,7e949e47-d042-5ffb-8134-fcbeb210a7a2,1.00
Pinus thunbergii,63f459e6-1343-5967-b3d1-a0f2d7e2e2c0,1.00
Prunus domestica,f4d8a33c-6493-582f-b42d-bbab0d8c9a42,1.00
Pyracantha,cc5670ae-3450-51b8-9572-9e3e58d79a9a,0.70
Acacia longifolia,98e2e649-6030-55e4-a17e-ff5f1cda812e,1.00
Albizia amara,45bb0fbc-5343-5b26-b671-87a3eff21c90,1.00
Cedrus atlantica 'Glauca',f6a655c6-5c45-5b25-8f77-be6aa1f6675a,0.90
Cinnamomum glanduliferum,7c3e1831-b198-5236-b5f8-859b86f016a3,1.00
Ficus nitida,cea2a378-3b2f-5e4c-9337-e17432005f32,1.00
Ligustrum japonicum,019ebbdf-5dea-5d3f-af72-0ecdbf4d6515,1.00
Picea,00f1207e-ce76-50f2-9cdb-279c2064700c,0.70
Podocarpus macrophyllus,bd63fa96-4d29-58b1-a3a5-bb9a54f7788a,1.00
Rhaphiolepis indica,8a41ce26-dba3-5208-a0eb-e995a1f5b6ca,1.00
Thuja plicata,9d8efcba-4efd-5ec3-8467-64db7524321c,1.00
Tilia americana,d3fc96d6-1c66-53ec-b3ff-15b9ecf1abd3,1.00
Betula nigra,dfaa8415-82d4-58eb-84d6-6d96d9aee807,1.00
Brugmansia versicolor,0dd3d5b0-cce4-5078-9260-188948cbbc8e,1.00
Cupressus arizonica,a28c74b1-9351-5366-b3b3-05687b6da4fd,1.00
Musa,e6cb628e-fb08-5d5a-b584-4e717cee7dfe,0.70
Parrotia Persica ‘Vanessa’,c58826a0-96ff-56df-a2b1-89f1fbfacb3b,0.60
Populus nigra 'Italica',e8e27686-5ec6-5251-b910-7d1366c33658,0.90
Quercus rugosa,963e2245-eb95-5b7c-89b9-51ea95875399,1.00
Ulmus japonica x wilsoniana 'Morton',1ee5bc65-f0b3-50e5-be86-afc2c3d6064e,0.90
Acacia baileyana,ef8dab5c-cca1-58dd-8e91-2ee11e98914b,1.00
Aesculus × carnea 'Briottii',81fbce65-a01f-549f-a5ff-466a73bc1e08,0.60
Celtis occidentalis,870cf55e-0c5b-5642-ace4-fce540523f06,1.00
Cotinus coggygria,20415474-6eca-52d3-b5a0-21c14740411e,1.00
Crataegus laevigata 'Rosea',78df5efd-c91d-5ac5-8ec0-6900c0d7762c,0.90
Eucalyptus citriodora,2c87adc4-259f-5964-9de6-2d9e17049cc1,1.00
Eucalyptus parvula,a56b6fda-ff69-5f3c-9e41-e0bddf048c03,1.00
Magnolia grandiflora 'Sam Sommers',1bcb3246-1d3d-5bdd-88d6-a2dba461ab8d,0.90
Phoenix roebelenii,10de8a35-2ba5-5b3a-85c1-083d11ba612d,1.00
Taxus baccata 'Fastigiata',777b91cb-34ef-5403-a5bf-2eb19d0e3412,0.90
Zelkova serrata 'Wireless',,0.00
Acer campestre 'Evelyn',75665098-c773-5de5-b3a5-7dbb548b76f3,0.90
Acer ginnala,2c4f47c0-1634-5531-99d0-5c3da1e8c8a3,1.00
Acer rubrum ‘October Glory’,2c7adec6-d050-51a5-8b60-3673f118d93e,0.90
Agonis flexuosa,351ad4ed-24ad-5245-bd9b-3f3a2d100d1a,1.00
Castanea sativa,3449b5f0-52ae-5f18-aee3-0087bda65940,1.00
Chitalpa tashkentensis ‘Pink Dawn’,d2681b2c-dfbb-59f8-97aa-bf161383263c,0.90
Cupressus macrocarpa,f909a9ee-939c-5933-8220-66bb56d0c923,1.00
Cupressus species,ae85254b-4ba8-5f07-94d3-268c4987cec0,1.00
Eucalyptus viminalis,9cb594ee-1d27-5ec3-9c62-5ddc7570403a,1.00
Hakea suaveolens,6cae1d28-b1b3-5fa1-bf01-c71efc2ad73d,1.00
Heteromeles arbutifolia,0c225f79-1ff8-57c7-b7bc-b9fb278d1e0c,1.00
Leucaena leucocephala,db0952f7-9c4f-5a1e-9cd1-ce407f5f0279,1.00
Ligustrum,193f740e-0c86-57ee-af87-1078cb3e0745,0.70
Lycianthus rantonnetii,b560e69a-fa6c-5e7a-ac54-8c6fc68fe22e,1.00
Phoenix dactylifera,3a90e17a-d4a5-59ff-8251-1e867f8a3643,1.00
Pittosporum tenuifolium,b696721e-4faf-51b4-962e-1aa16ed1ca93,1.00
Platanus acerifolia 'Bloodgood',b9a547f2-c7f5-5fbb-ade5-131918bb6f26,0.90
Pyrus calleryana 'New Bradford',5c0a98ae-d5b2-53f9-9d13-4557b2181089,0.90
Quercus coccinea,75ec88fe-97e7-55e3-aa0d-5517c87be880,1.00
Quercus tomentella,5b864858-ac3b-57d3-ae31-e820ea8fd920,1.00
Robinia,cff11db3-8d29-5adb-ab87-8bfe3bb5feff,0.70
