[probe] armed
[probe] z18 markers=194 frames=2 fps=1.4 p50=822.9ms p95=822.9ms worst=822.9ms dropped=0 gps=0 body=15 fetch=0
[probe] z18 markers=194 frames=2 fps=1.5 p50=685.4ms p95=685.4ms worst=685.4ms dropped=0 gps=0 body=14 fetch=0
[probe] z18 markers=194 frames=2 fps=1.5 p50=791.9ms p95=791.9ms worst=791.9ms dropped=0 gps=0 body=14 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=745.2ms p95=745.2ms worst=745.2ms dropped=1 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.6 p50=752.3ms p95=752.3ms worst=752.3ms dropped=0 gps=0 body=13 fetch=0
[probe] z18 markers=194 frames=2 fps=1.7 p50=593.3ms p95=593.3ms worst=593.3ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=3 fps=1.7 p50=595.1ms p95=761.0ms worst=761.0ms dropped=1 gps=0 body=18 fetch=0
[probe] z18 markers=194 frames=2 fps=1.6 p50=753.2ms p95=753.2ms worst=753.2ms dropped=1 gps=0 body=13 fetch=0
[probe] z18 markers=194 frames=3 fps=1.9 p50=565.5ms p95=650.3ms worst=650.3ms dropped=1 gps=0 body=17 fetch=0
[probe] z18 markers=194 frames=2 fps=1.7 p50=580.0ms p95=580.0ms worst=580.0ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.7 p50=577.4ms p95=577.4ms worst=577.4ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.7 p50=588.8ms p95=588.8ms worst=588.8ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.7 p50=784.9ms p95=784.9ms worst=784.9ms dropped=1 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.7 p50=585.0ms p95=585.0ms worst=585.0ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=3 fps=1.7 p50=588.9ms p95=753.3ms worst=753.3ms dropped=1 gps=0 body=18 fetch=0
[probe] z18 markers=194 frames=2 fps=1.6 p50=668.7ms p95=668.7ms worst=668.7ms dropped=0 gps=0 body=13 fetch=0
[probe] z18 markers=194 frames=2 fps=1.4 p50=861.8ms p95=861.8ms worst=861.8ms dropped=0 gps=0 body=15 fetch=0
[probe] z18 markers=194 frames=2 fps=1.5 p50=755.5ms p95=755.5ms worst=755.5ms dropped=0 gps=0 body=14 fetch=0
[probe] z18 markers=194 frames=2 fps=1.7 p50=603.5ms p95=603.5ms worst=603.5ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.7 p50=599.7ms p95=599.7ms worst=599.7ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.7 p50=577.6ms p95=577.6ms worst=577.6ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=568.1ms p95=568.1ms worst=568.1ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.7 p50=606.3ms p95=606.3ms worst=606.3ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.7 p50=583.6ms p95=583.6ms worst=583.6ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.7 p50=615.6ms p95=615.6ms worst=615.6ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.9 p50=573.8ms p95=573.8ms worst=573.8ms dropped=0 gps=0 body=11 fetch=0
[probe] z18 markers=194 frames=2 fps=1.5 p50=662.8ms p95=662.8ms worst=662.8ms dropped=0 gps=0 body=14 fetch=0
